"Index","KrakenEthUsd.Open","KrakenEthUsd.High","KrakenEthUsd.Low","KrakenEthUsd.Close","KrakenEthUsd.Volume","KrakenEthUsd.Adjusted"
2017-07-21T08:00:00.000Z,237.02,237.79,224.00,227.30,14806.05303000,227.30
2017-07-21T12:00:00.000Z,227.30,229.75,223.50,223.74,11230.68772886,223.74
2017-07-21T16:00:00.000Z,223.74,223.99,216.00,217.08,20533.10878915,217.08
2017-07-21T20:00:00.000Z,217.10,219.89,209.85,216.00,30908.76551825,216.00
2017-07-22T00:00:00.000Z,216.00,224.01,214.30,221.10,9019.99174503,221.10
2017-07-22T04:00:00.000Z,221.38,223.99,219.00,223.90,3914.02711116,223.90
2017-07-22T08:00:00.000Z,223.99,228.00,222.00,225.77,8486.17764380,225.77
2017-07-22T12:00:00.000Z,225.77,226.88,222.00,223.47,6289.83931676,223.47
2017-07-22T16:00:00.000Z,223.47,227.33,223.00,225.29,6069.14630041,225.29
2017-07-22T20:00:00.000Z,225.29,237.00,225.01,230.13,12809.82870547,230.13
2017-07-23T00:00:00.000Z,231.67,235.00,229.68,231.25,7302.09972415,231.25
2017-07-23T04:00:00.000Z,231.25,232.93,224.50,225.50,13663.54090943,225.50
2017-07-23T08:00:00.000Z,224.51,226.80,220.12,221.70,10663.68682369,221.70
2017-07-23T12:00:00.000Z,221.00,231.00,220.58,229.89,9383.02748477,229.89
2017-07-23T16:00:00.000Z,229.20,232.00,228.52,232.00,6033.54933650,232.00
2017-07-23T20:00:00.000Z,232.00,232.89,225.70,229.85,9926.42567647,229.85
2017-07-24T00:00:00.000Z,229.20,230.50,226.20,227.79,5580.24259416,227.79
2017-07-24T04:00:00.000Z,227.79,229.47,224.32,226.24,7324.38185303,226.24
2017-07-24T08:00:00.000Z,226.19,228.99,224.02,227.00,3507.35390941,227.00
2017-07-24T12:00:00.000Z,227.21,231.89,225.42,226.85,9487.82671022,226.85
2017-07-24T16:00:00.000Z,226.85,228.50,224.89,227.42,4368.96532309,227.42
2017-07-24T20:00:00.000Z,227.42,227.42,224.77,225.80,2902.25144241,225.80
2017-07-25T00:00:00.000Z,225.38,226.38,222.01,222.90,5360.56006915,222.90
2017-07-25T04:00:00.000Z,222.90,226.00,210.27,211.00,24738.06109733,211.00
2017-07-25T08:00:00.000Z,211.00,217.94,201.20,205.98,38286.80283928,205.98
2017-07-25T12:00:00.000Z,204.01,209.94,202.00,206.75,23605.87935168,206.75
2017-07-25T16:00:00.000Z,206.79,207.50,194.53,197.50,36053.49505471,197.50
2017-07-25T20:00:00.000Z,197.50,206.99,191.71,204.00,43097.35834891,204.00
2017-07-26T00:00:00.000Z,203.04,209.00,195.62,198.50,24534.96494831,198.50
2017-07-26T04:00:00.000Z,198.50,202.30,193.21,196.98,22603.13067232,196.98
2017-07-26T08:00:00.000Z,196.41,205.99,196.19,205.99,18050.52845225,205.99
2017-07-26T12:00:00.000Z,205.99,207.49,195.86,195.86,21598.01614924,195.86
